timestamp,valor
1881,-0.19
1881.08333333333,-0.13
1881.25,0.04
1881.33333333333,0.06
1881.41666666667,0.07
1881.5,-0.18
1881.58333333333,0.01
1881.66666666667,-0.02
1881.75,-0.14
1881.83333333333,-0.21
1881.91666666667,-0.18
1881.91666666667,-0.06
1882,0.17
1882.08333333333,0.15
1882.25,0.05
1882.33333333333,-0.16
1882.41666666667,-0.14
1882.5,-0.22
1882.58333333333,-0.15
1882.66666666667,-0.06
1882.75,-0.14
1882.83333333333,-0.23
1882.91666666667,-0.16
1882.91666666667,-0.35
1883,-0.28
1883.08333333333,-0.36
1883.25,-0.12
1883.33333333333,-0.18
1883.41666666667,-0.17
1883.5,-0.06
1883.58333333333,-0.07
1883.66666666667,-0.13
1883.75,-0.21
1883.83333333333,-0.11
1883.91666666667,-0.24
1883.91666666667,-0.11
1884,-0.12
1884.08333333333,-0.08
1884.25,-0.36
1884.33333333333,-0.4
1884.41666666667,-0.34
1884.5,-0.34
1884.58333333333,-0.32
1884.66666666667,-0.27
1884.75,-0.27
1884.83333333333,-0.25
1884.91666666667,-0.33
1884.91666666667,-0.3
1885,-0.58
1885.08333333333,-0.33
1885.25,-0.25
1885.33333333333,-0.41
1885.41666666667,-0.44
1885.5,-0.43
1885.58333333333,-0.33
1885.66666666667,-0.3
1885.75,-0.27
1885.83333333333,-0.22
1885.91666666667,-0.23
1885.91666666667,-0.09
1886,-0.42
1886.08333333333,-0.5
1886.25,-0.42
1886.33333333333,-0.27
1886.41666666667,-0.23
1886.5,-0.34
1886.58333333333,-0.17
1886.66666666667,-0.3
1886.75,-0.23
1886.83333333333,-0.27
1886.91666666667,-0.26
1886.91666666667,-0.24
1887,-0.7
1887.08333333333,-0.56
1887.25,-0.35
1887.33333333333,-0.33
1887.41666666667,-0.29
1887.5,-0.23
1887.58333333333,-0.24
1887.66666666667,-0.34
1887.75,-0.24
1887.83333333333,-0.34
1887.91666666667,-0.25
1887.91666666667,-0.32
1888,-0.33
1888.08333333333,-0.34
1888.25,-0.4
1888.33333333333,-0.19
1888.41666666667,-0.21
1888.5,-0.16
1888.58333333333,-0.09
1888.66666666667,-0.14
1888.75,-0.11
1888.83333333333,0.02
1888.91666666667,0.04
1888.91666666667,-0.04
1889,-0.08
1889.08333333333,0.18
1889.25,0.07
1889.33333333333,0.1
1889.41666666667.0,
1889.5,-0.09
1889.58333333333,-0.07
1889.66666666667,-0.19
1889.75,-0.23
1889.83333333333,-0.25
1889.91666666667,-0.33
1889.91666666667,-0.28
1890,-0.41
1890.08333333333,-0.45
1890.25,-0.39
1890.33333333333,-0.29
1890.41666666667,-0.39
1890.5,-0.24
1890.58333333333,-0.27
1890.66666666667,-0.38
1890.75,-0.36
1890.83333333333,-0.24
1890.91666666667,-0.43
1890.91666666667,-0.31
1891,-0.33
1891.08333333333,-0.46
1891.25,-0.17
1891.33333333333,-0.26
1891.41666666667,-0.16
1891.5,-0.19
1891.58333333333,-0.16
1891.66666666667,-0.16
1891.75,-0.15
1891.83333333333,-0.21
1891.91666666667,-0.3
1891.91666666667,-0.04
1892,-0.28
1892.08333333333,-0.1
1892.25,-0.39
1892.33333333333,-0.32
1892.41666666667,-0.23
1892.5,-0.21
1892.58333333333,-0.31
1892.66666666667,-0.26
1892.75,-0.16
1892.83333333333,-0.13
1892.91666666667,-0.41
1892.91666666667,-0.37
1893,-0.8
1893.08333333333,-0.55
1893.25,-0.22
1893.33333333333,-0.26
1893.41666666667,-0.33
1893.5,-0.25
1893.58333333333,-0.14
1893.66666666667,-0.24
1893.75,-0.22
1893.83333333333,-0.18
1893.91666666667,-0.18
1893.91666666667,-0.32
1894,-0.51
1894.08333333333,-0.28
1894.25,-0.22
1894.33333333333,-0.44
1894.41666666667,-0.3
1894.5,-0.39
1894.58333333333,-0.23
1894.66666666667,-0.23
1894.75,-0.27
1894.83333333333,-0.22
1894.91666666667,-0.25
1894.91666666667,-0.2
1895,-0.39
1895.08333333333,-0.41
1895.25,-0.31
1895.33333333333,-0.2
1895.41666666667,-0.26
1895.5,-0.2
1895.58333333333,-0.16
1895.66666666667,-0.16
1895.75,-0.12
1895.83333333333,-0.1
1895.91666666667,-0.15
1895.91666666667,-0.13
1896,-0.21
1896.08333333333,-0.11
1896.25,-0.25
1896.33333333333,-0.29
1896.41666666667,-0.15
1896.5,-0.1
1896.58333333333,-0.02
1896.66666666667,-0.04
1896.75,-0.06
1896.83333333333,0.07
1896.91666666667,-0.03
1896.91666666667,-0.03
1897,-0.14
1897.08333333333,-0.16
1897.25,-0.12
1897.33333333333,-0.01
1897.41666666667.0,
1897.5,-0.11
1897.58333333333,-0.02
1897.66666666667,-0.08
1897.75,-0.08
1897.83333333333,-0.12
1897.91666666667,-0.17
1897.91666666667,-0.19
1898,-0.01
1898.08333333333,-0.28
1898.25,-0.49
1898.33333333333,-0.29
1898.41666666667,-0.29
1898.5,-0.17
1898.58333333333,-0.21
1898.66666666667,-0.25
1898.75,-0.2
1898.83333333333,-0.33
1898.91666666667,-0.37
1898.91666666667,-0.22
1899,-0.15
1899.08333333333,-0.38
1899.25,-0.35
1899.33333333333,-0.2
1899.41666666667,-0.23
1899.5,-0.31
1899.58333333333,-0.15
1899.66666666667,-0.08
1899.75,-0.04
1899.83333333333,-0.04
1899.91666666667,0.13
1899.91666666667,-0.25
1900,-0.34
1900.08333333333,-0.04
1900.25,0.02
1900.33333333333,-0.08
1900.41666666667,-0.08
1900.5,-0.09
1900.58333333333,-0.12
1900.66666666667,-0.08
1900.75,-0.05
